# Provenance: logpai/loghub @GitHub master — BGL/BGL_2k.log_structured.csv (Blue Gene/L supercomputer RAS log)
# Chunks fetched: 0, 1, 26, 40 of 54 (2026-09-24, fetch_page tool). Boundary partial rows dropped. Comment lines (#) are non-data.
LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate
1,-,1117838570,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.50.675872,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected
5,-,1117842440,2005.06.03,R23-M0-NE-C:J05-U01,2005-06-03-16.47.20.730545,R23-M0-NE-C:J05-U01,RAS,KERNEL,INFO,63543 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
6,-,1117842974,2005.06.03,R24-M0-N1-C:J13-U11,2005-06-03-16.56.14.254137,R24-M0-N1-C:J13-U11,RAS,KERNEL,INFO,162 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
7,-,1117843015,2005.06.03,R21-M1-N6-C:J08-U11,2005-06-03-16.56.55.309974,R21-M1-N6-C:J08-U11,RAS,KERNEL,INFO,141 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
8,-,1117848119,2005.06.03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>"
9,APPREAD,1117869872,2005.06.04,R04-M1-N4-I:J18-U11,2005-06-04-00.24.32.432192,R04-M1-N4-I:J18-U11,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
10,APPREAD,1117869876,2005.06.04,R27-M1-N4-I:J18-U01,2005-06-04-00.24.36.222560,R27-M1-N4-I:J18-U01,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>:<*>
11,-,1117942120,2005.06.04,R30-M0-N7-C:J08-U01,2005-06-04-20.28.40.767551,R30-M0-N7-C:J08-U01,RAS,KERNEL,INFO,"CE sym 20, at 0x1438f9e0, mask 0x40",E18,"CE sym <*>, at <*>, mask <*>"
12,-,1117955341,2005.06.05,R25-M0-N7-C:J02-U01,2005-06-05-00.09.01.903373,R25-M0-N7-C:J02-U01,RAS,KERNEL,INFO,generating core.2275,E67,generating core.<*>
13,-,1117955392,2005.06.05,R24-M1-N8-C:J09-U11,2005-06-05-00.09.52.516674,R24-M1-N8-C:J09-U11,RAS,KERNEL,INFO,generating core.862,E67,generating core.<*>
