# Provenance: logpai/loghub @GitHub master — OpenSSH/OpenSSH_2k.log_structured.csv (SSH auth log from LabSZ)
# Chunks fetched: 0 of 45 (2026-09-24, fetch_page tool). Comment lines (#) are non-data. Partial boundary row dropped.
LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate
1,Dec,10,06:55:46,LabSZ,24200,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
2,Dec,10,06:55:46,LabSZ,24200,Invalid user webmaster from 173.234.31.186,E13,Invalid user <*> from <*>
3,Dec,10,06:55:46,LabSZ,24200,input_userauth_request: invalid user webmaster [preauth],E12,input_userauth_request: invalid user <*> [preauth]
4,Dec,10,06:55:46,LabSZ,24200,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown
5,Dec,10,06:55:46,LabSZ,24200,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
6,Dec,10,06:55:48,LabSZ,24200,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
7,Dec,10,06:55:48,LabSZ,24200,Connection closed by 173.234.31.186 [preauth],E2,Connection closed by <*> [preauth]
8,Dec,10,07:02:47,LabSZ,24203,Connection closed by 212.47.254.145 [preauth],E2,Connection closed by <*> [preauth]
9,Dec,10,07:07:38,LabSZ,24206,Invalid user test9 from 52.80.34.196,E13,Invalid user <*> from <*>
12,Dec,10,07:07:38,LabSZ,24206,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
14,Dec,10,07:07:45,LabSZ,24206,Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
15,Dec,10,07:08:28,LabSZ,24208,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
18,Dec,10,07:08:28,LabSZ,24208,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown
20,Dec,10,07:08:30,LabSZ,24208,Failed password for invalid user webmaster from 173.234.31.186 port 39257 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
22,Dec,10,07:11:42,LabSZ,24224,Invalid user chen from 202.100.179.208,E13,Invalid user <*> from <*>
26,Dec,10,07:11:44,LabSZ,24224,Failed password for invalid user chen from 202.100.179.208 port 32484 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2
28,Dec,10,07:13:31,LabSZ,24227,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,E20,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
29,Dec,10,07:13:43,LabSZ,24227,Failed password for root from 5.36.59.76 port 42393 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
30,Dec,10,07:13:56,LabSZ,24227,message repeated 5 times: [ Failed password for root from 5.36.59.76 port 42393 ssh2],E14,message repeated <*> times: [ Failed password for root from <*> port <*>]
31,Dec,10,07:13:56,LabSZ,24227,Disconnecting: Too many authentication failures for root [preauth],E5,Disconnecting: Too many authentication failures for root [preauth]
32,Dec,10,07:13:56,LabSZ,24227,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.36.59.76.dynamic-dsl-ip.omantel.net.om  user=root,E17,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>  user=root
33,Dec,10,07:13:56,LabSZ,24227,PAM service(sshd) ignoring max retries; 6 > 3,E18,PAM service(sshd) ignoring max retries; <*> > <*>
35,Dec,10,07:27:52,LabSZ,24235,Failed password for root from 112.95.230.3 port 45378 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
38,Dec,10,07:27:55,LabSZ,24237,Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth]
41,Dec,10,07:27:58,LabSZ,24239,Failed password for root from 112.95.230.3 port 49188 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
44,Dec,10,07:28:00,LabSZ,24241,Failed password for root from 112.95.230.3 port 50999 ssh2,E9,Failed password for <*> from <*> port <*> ssh2
46,Dec,10,07:28:01,LabSZ,24243,Connection closed by 112.95.230.3 [preauth],E2,Connection closed by <*> [preauth]
